Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.0,0.0
2003-07-04,0.0,0.0,0.0
2003-07-05,0.0,0.0,0.0
2003-07-06,0.0,0.0,0.0
2003-07-07,0.0,0.0,0.0
2003-07-08,0.0,0.0,0.0
2003-07-09,0.0,0.0,0.0
2003-07-10,0.0,0.0,0.0
2003-07-11,0.0,0.0,0.0
2003-07-12,0.0,0.0,0.0
2003-07-13,0.0,0.0,0.0
2003-07-14,0.0,0.01,0.0
2003-07-15,0.035,0.26,0.02
2003-07-16,0.45,0.53,0.27
2003-07-17,0.39,0.67,0.35
2003-07-18,1.0150000000000001,1.07,0.69
2003-07-19,1.415,1.82,1.08
2003-07-20,2.64,3.46,1.84
2003-07-21,4.115,4.6,3.5
2003-07-22,5.8100000000000005,6.7,4.64
2003-07-23,6.675000000000001,6.82,6.25
2003-07-24,5.5,6.22,4.88
2003-07-25,4.245,4.85,3.79
2003-07-26,3.42,3.77,3.15
2003-07-27,2.87,3.14,2.64
2003-07-28,2.38,2.62,2.19
2003-07-29,2.01,2.18,1.87
2003-07-30,1.7149999999999999,1.87,1.58
2003-07-31,1.425,1.58,1.3
2003-08-01,1.175,1.3,1.07
2003-08-02,0.985,1.07,0.93
2003-08-03,0.88,0.92,0.85
2003-08-04,0.83,0.85,0.81
2003-08-05,0.8,0.81,0.8
2003-08-06,0.775,0.8,0.74
2003-08-07,0.685,0.74,0.64
2003-08-08,0.59,0.64,0.55
2003-08-09,0.515,0.55,0.49
2003-08-10,0.45499999999999996,0.48,0.43
2003-08-11,0.405,0.43,0.4
2003-08-12,0.46499999999999997,0.54,0.41
2003-08-13,0.63,0.72,0.54
2003-08-14,0.97,1.26,0.72
2003-08-15,1.575,1.78,1.27
2003-08-16,1.8250000000000002,1.83,1.78
2003-08-17,1.78,1.8,1.77
2003-08-18,1.78,1.8,1.72
2003-08-19,1.5899999999999999,1.72,1.48
2003-08-20,1.43,1.5,1.41
2003-08-21,1.995,2.71,1.51
2003-08-22,3.145,3.22,2.74
2003-08-23,2.565,2.99,2.21
2003-08-24,1.895,2.2,1.67
2003-08-25,1.49,1.66,1.39
2003-08-26,1.3050000000000002,1.39,1.23
2003-08-27,1.15,1.22,1.1
2003-08-28,1.04,1.1,0.98
2003-08-29,0.915,0.98,0.87
2003-08-30,0.825,0.87,0.79
2003-08-31,0.75,0.79,0.7
2003-09-01,0.66,0.7,0.62
2003-09-02,0.575,0.62,0.54
2003-09-03,0.505,0.54,0.48
2003-09-04,0.45,0.48,0.43
2003-09-05,0.41000000000000003,0.43,0.39
2003-09-06,0.375,0.39,0.36
2003-09-07,0.345,0.36,0.34
2003-09-08,0.325,0.34,0.32
2003-09-09,0.375,0.43,0.33
2003-09-10,0.47,0.48,0.43
2003-09-11,0.475,0.49,0.47
2003-09-12,0.52,0.54,0.49
2003-09-13,0.54,0.54,0.54
2003-09-14,0.52,0.54,0.51
2003-09-15,0.5800000000000001,0.73,0.51
2003-09-16,1.065,1.22,0.74
2003-09-17,1.1749999999999998,1.22,1.16
2003-09-18,1.12,1.16,1.06
2003-09-19,1.2200000000000002,1.55,1.05
2003-09-20,2.04,2.22,1.57
2003-09-21,2.06,2.22,1.82
2003-09-22,1.5499999999999998,1.8,1.41
2003-09-23,1.37,2.26,1.3
2003-09-24,3.5700000000000003,4.56,2.34
2003-09-25,8.1,9.91,4.68
